"id","city_name","lemmatized_city"
20530,"Ужгород и Закарпатская область","ужгород и закарпатская область"
20531,"Тернополь и область ","тернополь и область"
20532,"Ивано-Франковск и область ","ивано-франковск и область"
20533,"Черновцы и область ","черновцы и область"
20534,"Ровно и область ","ровно и область"
20535,"Хмельницкий и область ","хмельницкий и область"
20536,"Донецк и область ","донецк и область"
20537,"Днепропетровск и область ","днепропетровск и область"
20538,"Харьков и область ","харьков и область"
20539,"Запорожье и область ","запорожье и область"
20540,"Луганск и область ","луганск и область"
20541,"Одесса и область ","одесса и область"
20542,"Херсон и область ","херсон и область"
20543,"Николаев и область ","николаев и область"
20544,"Киев и область ","киев и область"
20545,"Винница и область ","винница и область"
20546,"Черкассы и область ","черкассы и область"
20547,"Житомир и область ","житомир и область"
20548,"Кировоград и область ","кировоград и область"
20549,"Полтава и область ","полтава и область"
20550,"Луцк и Волынская область","луцк и волынская область"
20551,"Чернигов и область ","чернигов и область"
20552,"Сумы и область ","сумы и область"
20554,"Краматорск   ","краматорск"
20556,"Саки   ","саки"
20571,"Жуковский   ","жуковский"
20574,"Кипр   ","кипр"
20576,"Протвино   ","протвино"
20587,"Строитель   ","строитель"
20654,"Невьянск   ","невьянск"
20667,"Богородицк   ","богородицк"
20672,"Североуральск   ","североуральск"
20680,"Учалы   ","учалы"
20684,"Реж   ","реж"
20691,"Красноуфимск   ","красноуфимск"
20704,"Славянск-на-Кубани   ","славянск-на-кубани"
20707,"Курчатов   ","курчатов"
20714,"Белебей   ","белебей"
20715,"Мелеуз   ","мелеуз"
20716,"Сибай   ","сибай"
20717,"Туймазы   ","туймазы"
20718,"Ишимбай   ","ишимбай"
20720,"Верхняя Пышма  ","верхняя пышма"
20721,"Волжск   ","волжск"
20728,"Королёв   ","королёв"
20809,"Кокшетау   ","кокшетау"
20975,"Камбоджа   ","камбоджа"
21141,"Тимашёвск   ","тимашёвск"
21154,"Тутаев   ","тутаев"
21521,"Избербаш   ","избербаш"
21609,"Кременчуг   ","кременчуг"
21610,"Черногория   ","черногория"
21619,"Фрязино   ","фрязино"
21621,"Реутов   ","реутов"
21623,"Ивантеевка   ","ивантеевка"
21624,"Щербинка   ","щербинка"
21625,"Кубинка   ","кубинка"
21627,"Дедовск   ","дедовск"
21630,"Лыткарино   ","лыткарино"
21635,"Лосино-Петровский   ","лосино-петровский"
21641,"Лобня   ","лобня"
21642,"Электроугли   ","электроугли"
21645,"Хотьково   ","хотьково"
21646,"Голицыно   ","голицыно"
21647,"Краснознаменск   ","краснознаменск"
21656,"Старая Купавна  ","старая купавна"
21726,"Полевской   ","полевской"
21735,"Дзержинский   ","дзержинский"
21745,"Нахабино   ","нахабино"
21773,"Никополь   ","никополь"
21774,"Горловка   ","горловка"
21775,"Днепродзержинск   ","днепродзержинск"
21949,"Забайкальский край  ","забайкальский край"
24696,"Бахчисарайский район  ","бахчисарайский район"
24702,"Ленинский район  ","ленинский район"
24876,"Макеевка   ","макеевка"
24885,"Алчевск   ","алчевск"
24893,"Северодонецк   ","северодонецк"
26081,"Колпино   ","колпино"
27217,"Бахчисарай   ","бахчисарай"
27555,"Джанкой   ","джанкой"
27693,"Красноперекопск   ","красноперекопск"
28401,"Павлоград   ","павлоград"
28786,"Щёлкино   ","щёлкино"
28892,"Армянск   ","армянск"
29053,"Нежин   ","нежин"
29386,"Абхазия   ","абхазия"
29397,"Берёзовский   ","берёзовский"
29403,"Астана и Акмолинская область","астана и акмолинская область"
29404,"Актобе и область ","актобе и область"
29406,"Алматы и область ","алматы и область"
29407,"Атырау и область ","атырау и область"
29408,"Восточно-Казахстанская область  ","восточно-казахстанская область"
29409,"Тараз и Жамбылская область","тараз и жамбылская область"
29410,"Западно-Казахстанская область  ","западно-казахстанская область"
29411,"Караганда и область ","караганда и область"
29412,"Костанай и область ","костанай и область"
29413,"Кызылорда и область ","кызылорда и область"
29414,"Актау и Мангистауская область","актау и мангистауская область"
29415,"Павлодар и область ","павлодар и область"
29416,"Северо-Казахстанская область  ","северо-казахстанская область"
29417,"Южно-Казахстанская область  ","южно-казахстанская область"
29629,"Могилёв и область ","могилёв и область"
29630,"Минск и область ","минск и область"
29631,"Гомель и область ","гомель и область"
29632,"Брест и область ","брест и область"
29633,"Витебск и область ","витебск и область"
29634,"Гродно и область ","гродно и область"
37129,"Покров   ","покров"
37133,"Новочебоксарск   ","новочебоксарск"
37147,"Климовск   ","климовск"
98580,"Волоколамский район  ","волоколамский район"
98581,"Воскресенский район  ","воскресенский район"
98582,"Дмитровский район  ","дмитровский район"
98584,"Егорьевский район  ","егорьевский район"
98585,"Зарайский район  ","зарайский район"
98586,"Истринский район  ","истринский район"
98587,"Каширский район  ","каширский район"
98588,"Клинский район  ","клинский район"
98590,"Красногорский район  ","красногорский район"
98593,"Луховицкий район  ","луховицкий район"
98594,"Люберецкий район  ","люберецкий район"
98595,"Можайский район  ","можайский район"
98596,"Мытищинский район  ","мытищинский район"
98597,"Наро-Фоминский район  ","наро-фоминский район"
98598,"Ногинский район  ","ногинский район"
98599,"Одинцовский район  ","одинцовский район"
98602,"Павлово-Посадский район  ","павлово-посадский район"
98605,"Раменский район  ","раменский район"
98606,"Рузский район  ","рузский район"
98607,"Ступинский район  ","ступинский район"
98608,"Сергиево-Посадский район  ","сергиево-посадский район"
98611,"Солнечногорский район  ","солнечногорский район"
98614,"Чеховский район  ","чеховский район"
98615,"Шатурский район  ","шатурский район"
98617,"Щелковский район  ","щелковский район"
98620,"Волховский район  ","волховский район"
98621,"Всеволожский район  ","всеволожский район"
98622,"Выборгский район  ","выборгский район"
98623,"Гатчинский район  ","гатчинский район"
98624,"Кингисеппский район  ","кингисеппский район"
98625,"Киришский район  ","киришский район"
98626,"Кировский район  ","кировский район"
98629,"Лужский район  ","лужский район"
98630,"Подпорожский район  ","подпорожский район"
98631,"Приозерский район  ","приозерский район"
98632,"Сланцевский район  ","сланцевский район"
98633,"Тихвинский район  ","тихвинский район"
98634,"Тосненский район  ","тосненский район"
98697,"Алексеевский район  ","алексеевский район"
98716,"Шебекинский район  ","шебекинский район"
98717,"Яковлевский район  ","яковлевский район"
98745,"Александровский район  ","александровский район"
98750,"Киржачский район  ","киржачский район"
98755,"Петушинский район  ","петушинский район"
98787,"Россошанский район  ","россошанский район"
98826,"Малоярославецкий район  ","малоярославецкий район"
98958,"Вяземский район  ","вяземский район"
98959,"Гагаринский район  ","гагаринский район"
98981,"Ярцевский район  ","ярцевский район"
99008,"Бологовский район  ","бологовский район"
99019,"Конаковский район  ","конаковский район"
99039,"Удомельский район  ","удомельский район"
99044,"Богородицкий район  ","богородицкий район"
99078,"Тутаевский район  ","тутаевский район"
99079,"Угличский район  ","угличский район"
99146,"Боровичский район  ","боровичский район"
99161,"Старорусский район  ","старорусский район"
99193,"Кондопожский район  ","кондопожский район"
99203,"Сегежский район  ","сегежский район"
99210,"Район Печора  ","район печора"
99221,"Ахтубинский район  ","ахтубинский район"
